Week,Date,Day,Slot,Month Theme,Format,Platforms,Pillar,Topic & Hook,Hook (first 3 sec),Script / Shot List,On-screen Text,Caption Draft,CTA,Hashtag Set,Audio / Style / Ad Spend,Asset to Create,Source Assets & Notes,Filmed,Edited,Status,Posted Link,Views,Saves,Shares,DMs,Bookings
18,"Dec 20, 2026",Sun,Slot 3 - Reel,Glow Into the New Year,Reel (video),IG Reels + Facebook Reels + TikTok,Personality & BTS,"The Studio, Dressed for December",Come see the room.,"Slow room tour, holiday styling, candles, the chair, the tray station. Minimal talking, mostly ambience.",the room / one client at a time,"Quiet, private, and one person in it at a time. That does not change in December, it just gets better lighting.",DM to book,Set D,Soft holiday instrumental.,"Film slow room tour, 30 sec",,,,Idea,,,,,,
19,"Dec 23, 2026",Wed,Slot 1 - Reel,Glow Into the New Year,Reel (video),IG Reels + Facebook Reels + TikTok,Personality & BTS,Holiday Hours and a Thank You,"Closing dates, and something I want to say.",Talking head. State closing and reopening dates on screen. Then a genuine thank-you to the first-year clients.,CLOSED [dates] / REOPEN [date],The dates are on screen. The rest of this is just a thank you to everyone who trusted a new studio in its first months.,DM for January availability,Set D,"No music, one take.",Film 30-sec message,,,,Idea,,,,,,
19,"Dec 25, 2026",Fri,Slot 2 - Image / Ad,Glow Into the New Year,Image post,IG feed + Facebook + GBP,Personality & BTS,Merry Christmas from the Studio,Whatever today looks like for you.,"Simple static card, warm template. No offer, no CTA button.",Merry Christmas / see you in the new year,"No offer today. Just thank you, and I hope the day is a kind one.",See you in January,Set D,Organic only. Do not boost this one.,"Design a simple warm card, 4:5",,,,Idea,,,,,,
19,"Dec 27, 2026",Sun,Slot 3 - Reel,Glow Into the New Year,Reel (video),IG Reels + Facebook Reels + TikTok,Education,The Quietest Week Is the Best Week to Book,Nobody books between Christmas and New Year. That is the point.,"Talking head. Downtime is invisible this week, the calendar is open, and everything has settled by mid-January.",SETTLE NOW / look rested by mid-January,This is the week where a little swelling costs you nothing socially. It is quietly the best booking window of the year.,DM JANUARY to book,Set A,"Voiceover, calm.",Film 30-sec piece,,,,Idea,,,,,,
20,"Dec 30, 2026",Wed,Slot 1 - Reel,Glow Into the New Year,Reel (video),IG Reels + Facebook Reels + TikTok,Trust & Proof,2026 in Results,"The year, in thirty seconds.","Montage of consented healed results with dates. Voiceover naming what stayed constant: one client at a time, honest no's, natural results.",2026 / one room / one client at a time,Every face in this is someone who agreed to be here. Thank you for a first year that looked like this.,DM to book your 2027 consult,Set C,"Slow music, cross-dissolves.","Sequence consented result stills, 30 sec","Photo library: consented images only, Pairs A, C, F, G",,,Idea,,,,,,
20,"Jan 1, 2027",Fri,Slot 2 - Image / Ad,"New Year, Real Results",Image post + boost,IG feed + Facebook + GBP,Promo & CTA,"New Year, Same Face. Just Rested.",No resolutions here.,"Static card, light template.","NEW YEAR / same face, just rested","Nothing about you needs fixing in January. If you want to look less tired, that is a different and much smaller conversation.",DM CONSULT to book,Set E,Boost $10/day for 5 days.,"Design card, 4:5",,,,Idea,,,,,,
20,"Jan 3, 2027",Sun,Slot 3 - Reel,"New Year, Real Results",Reel (video),IG Reels + Facebook Reels + TikTok,Education,New to Injectables? Start Here.,"If you have never done this, watch this first.","Beginner primer. What a consult is, what a first treatment usually is (small), what it costs in time, and what you can walk away from.",CONSULT / SMALL FIRST DOSE / REVIEW AT 2 WEEKS,Nobody sensible starts big. A small first dose and a two-week review is how you find out what your face actually needs.,DM NEW to book a consult,Set A,Calm voiceover.,Film 60-sec primer,,,,Idea,,,,,,
21,"Jan 6, 2027",Wed,Slot 1 - Reel,"New Year, Real Results",Reel (video),IG Reels + Facebook Reels + TikTok,Education,January Reset: What Works and What Does Not,Half of what you are about to buy will not work.,"Fast list. What actually moves the needle (SPF, sleep, retinoid, targeted injectables) vs what does not (gadget devices, collagen drinks, panic buying).",WORKS / DOES NOT,"January sells a lot of hope. This is the short list of what actually changes a face, and it is boring.",Save this,Set A,"Quick cuts, voiceover.",Film 45-sec list,,,,Idea,,,,,,
21,"Jan 8, 2027",Fri,Slot 2 - Image / Ad,"New Year, Real Results",Paid ad (static),Meta Ads (IG + FB) + GBP,Promo & CTA,January Consults Are Open,"Free, honest, and you can leave with nothing booked.","Static ad, light template, 1:1 and 4:5.",JANUARY CONSULTS OPEN / free / no pressure,"A consultation costs you 45 minutes and nothing else. Come in, get a straight answer, decide later.",DM CONSULT to book,Set E,"Meta ad, $15/day for 7 days. Lead objective.","Design ad, 1:1 + 4:5",,,,Idea,,,,,,
21,"Jan 10, 2027",Sun,Slot 3 - Reel,"New Year, Real Results",Reel (video),IG Reels + Facebook Reels + TikTok,Trust & Proof,Price Transparency: What It Actually Costs,Let us talk prices. For real.,"Direct to camera with ranges on screen. Explain why there is no flat price list, then give honest ranges anyway so nobody is guessing.","RANGES, not a price list / your dose is yours","I do not post a price list because doses differ from face to face. That is not an excuse to leave you guessing, so here are honest ranges.",DM for a quote on your plan,Set C,"No music, direct to camera.",Film 60-sec piece with on-screen ranges,Idea bank: Price transparency (flagged as a strong differentiator),,,Idea,,,,,,
22,"Jan 13, 2027",Wed,Slot 1 - Reel,"New Year, Real Results",Reel (video),IG Reels + Facebook Reels + TikTok,Education,Men and Botox,Brotox is not a trend. It is a Tuesday.,"Talking head. Why male dosing is higher, why the goal is different (not smoothing, just softening), and how to keep it undetectable.",HIGHER DOSE / DIFFERENT GOAL / same discretion,"Men are the fastest-growing group in the chair and almost nobody markets to them honestly. Higher dose, lighter touch, nobody knows.","DM to ask anything, discreetly",Set A,"Voiceover, plain styling.",Film 40-sec piece,"Idea bank: Men and Botox, untapped audience",,,Idea,,,,,,
22,"Jan 15, 2027",Fri,Slot 2 - Image / Ad,"New Year, Real Results",Image post + boost,IG feed + Facebook + GBP,Education,Brotox Is Not a Trend,It is just Tuesday.,"Static card, dark template, plain type.","MEN'S TREATMENTS / higher dose, lighter goal","No special branding, no different room. Same consultation, same honesty, a different dose.",DM to ask,Set A,Boost $10/day for 5 days. Target men 30-55 in the local radius.,"Design card, 4:5 + 1:1",,,,Idea,,,,,,
22,"Jan 17, 2027",Sun,Slot 3 - Reel,"New Year, Real Results",Reel (video),IG Reels + Facebook Reels + TikTok,Trust & Proof,Under-Eye Filler: The Honest Truth,The most requested and most misunderstood treatment I do.,"Serious tone. Who is a candidate, who is absolutely not, what goes wrong (festooning, Tyndall), and why she turns most people down for it.",WHO IT SUITS / WHO IT DOES NOT / what goes wrong,I turn down more under-eye requests than I accept. When it is wrong it is very visibly wrong and it lasts a long time.,DM UNDER EYE for an honest assessment,Set C,"No music, direct to camera.",Film 60-sec piece,"Idea bank: Under-eye filler, high search volume",,,Idea,,,,,,
23,"Jan 20, 2027",Wed,Slot 1 - Reel,"New Year, Real Results",Reel (video),IG Reels + Facebook Reels + TikTok,Education,What Filters Did to Beauty Standards,Your face is not supposed to look like a filter.,Emotional piece. Show a filtered vs unfiltered still of herself. Talk about clients bringing in filtered photos of their own faces as the goal.,FILTERED / REAL / one of these is a face,People bring me filtered photos of themselves and ask to look like that. A filter is not a face. It is a shape no bone structure produces.,Share this with someone who needs it,Set A,"Soft music, honest edit.",Film 45-sec piece with filter comparison,"Idea bank: What filters did to beauty standards, highly shareable",,,Idea,,,,,,
23,"Jan 22, 2027",Fri,Slot 2 - Image / Ad,"New Year, Real Results",Paid ad (static),Meta Ads (IG + FB) + GBP,Promo & CTA,Retargeting: Book a Consult,You have been reading for a while.,"Static ad, light template. Retarget viewers of the last 90 days of video and profile visitors.",STILL THINKING ABOUT IT? / the consult is free,"No pressure and no sales script. Forty-five minutes, an honest answer, and you decide afterwards.",DM CONSULT to book,Set E,"Meta ad, $12/day for 7 days. Custom audience: video viewers 75% + profile engagers, last 90 days.","Design retargeting ad, 1:1 + 4:5",,,,Idea,,,,,,
23,"Jan 24, 2027",Sun,Slot 3 - Reel,"New Year, Real Results",Reel (video),IG Reels + Facebook Reels + TikTok,Trust & Proof,"Three Sessions, One Client",Watch what six months actually looks like.,Progress series. Three consented time points with dates on screen. Voiceover on why slow beats dramatic.,SESSION 1 / SESSION 2 / SESSION 3,"Six months, three appointments, nothing dramatic on any single day. That is what a plan looks like from the outside.",DM to start your own plan,Set C,"Slow music, cross-dissolves.",Sequence 3 consented time points,Idea bank: Progress series. NEEDS fresh client consent and photos over time - confirm before filming,,,Idea,,,,,,
24,"Jan 27, 2027",Wed,Slot 1 - Reel,"New Year, Real Results",Reel (video),IG Reels + Facebook Reels + TikTok,Personality & BTS,"Ask Me Anything: The January Live, Clipped",You asked. Here are the three best ones.,Clip the three strongest answers from the monthly IG Live into one reel with chapter cards.,LIVE Q&A / Q1 / Q2 / Q3,"Clipped from Monday's live. If your question did not get answered, put it below and it goes in February's.",Drop your question for next month,Set D,"Native live audio, chapter cards.","Run the IG Live first, then clip 3 answers",Idea bank: IG Live AMA. Each live produces 3-5 reels,,,Idea,,,,,,
24,"Jan 29, 2027",Fri,Slot 2 - Image / Ad,"New Year, Real Results",Image post + boost,IG feed + Facebook + GBP,Trust & Proof,Six Months of Honest Work,Every result here belongs to someone who said yes.,"Static grid of consented healed results, 3x3, light template.",SIX MONTHS / every face here consented,Six months of a one-room studio. Every image posted with permission and nothing retouched beyond colour.,DM to book,Set C,Boost $12/day for 5 days.,"Build 3x3 consented results grid, 4:5 + 1:1",Photo library: consented images only,,,Idea,,,,,,
24,"Jan 31, 2027",Sun,Slot 3 - Reel,"New Year, Real Results",Reel (video),IG Reels + Facebook Reels + TikTok,Promo & CTA,Month 6: What Is Next,Six months in. Here is what changes.,"Talking head. What the next six months add (new treatments, booking page launch, referral programme), and a direct ask to book.",MONTH 6 / what is next,Six months of posting the honest version. Next up: a proper booking page so you stop having to DM me at midnight.,"DM to book, or use the link in bio",Set E,"No music, one take.",Film 45-sec forward-look,Swap every DM CTA to the booking link once the page is live,,,Idea,,,,,,
